id,penalty,l1_ratio,alpha,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_clusters_per_class,n_informative,flip_y,scale
275,l2,0.8016372832322032,0.01,331,207,2,1040,837,9,5,8,0.0832770037182717,35.77886680452959
28,none,0.2470426028644537,0.001,130,854,-1,1244,960,10,2,9,0.04282811077193123,19.313554114738267
103,l2,0.6956101751640511,0.0001,832,973,-1,948,1299,8,2,9,0.012388354577656958,7.079640745360612
387,l1,0.4281734574949223,0.001,152,935,-1,854,158,7,5,10,0.03374963926609966,29.52829448017405
226,none,0.40161009945423104,0.01,475,452,1,513,442,9,5,12,0.011187960840264091,31.29288242445584
269,none,0.8415627993817093,0.0001,350,426,1,410,1282,6,2,6,0.08628058266744193,32.425642627279714
135,l1,0.12520033669976255,0.0001,711,892,8,267,142,2,2,9,0.08400974351447925,88.03324146755453
232,elasticnet,0.32499143094942706,0.001,685,470,4,746,675,8,5,10,0.08226100528987082,87.31238902048437
20,none,0.7285332615700323,0.001,213,101,4,222,128,6,4,8,0.0008417235153927449,20.919170879282614
216,l1,0.32940324106634866,0.001,994,826,4,129,410,10,5,9,0.009375232873258688,35.42804590222989
79,l2,0.7243331252036573,0.001,689,724,1,469,980,3,2,8,0.02263022392509674,72.73738518081694
353,l1,0.27441895629528257,0.001,304,903,1,638,171,4,4,9,0.009661836769328726,90.9309867063273
159,l1,0.6967468352361912,0.001,143,554,8,141,1226,2,2,8,0.05774673445699701,89.6821674138414
221,l1,0.4087289800836396,0.01,162,58,2,1250,765,6,2,9,0.08967714034787568,51.0615680214618
43,none,0.669810868816691,0.01,913,713,-1,329,806,3,3,7,0.06429757013824731,87.97230490850201
399,l2,0.3975316231588546,0.001,400,515,1,756,632,2,2,6,0.07997464200198151,97.1245836240277
66,none,0.7959420991727629,0.001,401,801,1,663,1295,8,2,11,0.014647189940011709,39.99192763316262
300,elasticnet,0.783731427812063,0.01,551,995,8,1279,1042,10,3,11,0.0014054347608064234,87.02821432950859
371,l1,0.8184978617319486,0.01,925,326,2,1074,537,4,5,9,0.043891219431037166,63.827166192820556
23,none,0.18438998226164086,0.01,306,446,-1,704,611,10,5,8,0.025607122260768944,26.31383823142617
253,elasticnet,0.3004523922154627,0.001,581,901,8,1282,1216,7,4,9,0.010937389921551369,17.235972269616394
80,l2,0.4702377552731282,0.0001,817,636,-1,977,281,5,3,9,0.0501818020544648,8.63276302675081
375,l2,0.8114095334036745,0.01,638,404,1,854,1136,7,3,11,0.01651915274151323,68.82229801435166
298,elasticnet,0.673572848031311,0.0001,835,235,1,1143,759,3,3,9,0.060582344138023124,78.35524853356974
84,l1,0.20282012954449732,0.001,870,996,1,679,291,10,5,9,0.05332177781689062,50.37560775775348
118,none,0.36438318264809744,0.01,820,155,4,1274,1318,7,4,10,0.03861711631407658,76.7695481399613
358,elasticnet,0.4955511361574073,0.0001,306,696,8,615,397,9,3,9,0.01729949083660375,84.2990554127624
90,none,0.4191031699286277,0.001,519,737,-1,956,586,9,4,11,0.06194852529370814,14.389723956116184
378,elasticnet,0.43032465292560695,0.0001,171,97,-1,660,130,4,3,9,0.08012222366086626,4.887383655126246
145,l1,0.8841546810920161,0.01,190,192,4,194,1037,3,4,7,0.06906086446297413,11.037936037974202
147,l1,0.8244612312243246,0.0001,902,99,1,107,1384,8,5,8,0.015682108090970967,77.88234755465805
78,l1,0.7158647246279053,0.01,423,651,1,869,311,4,2,6,0.03907671086604456,8.238954435884622
127,elasticnet,0.4050893892375799,0.0001,122,792,4,497,1030,4,3,9,0.0587772050512989,14.292437861681256
330,l1,0.6705239015658913,0.0001,184,805,4,237,597,7,3,11,0.07040848484549493,63.87336386396913
354,elasticnet,0.32215862197214423,0.001,966,645,-1,356,848,5,3,7,0.0260638369967388,78.79817313116591
82,elasticnet,0.7191709874667859,0.01,765,588,2,716,1326,2,5,7,0.02515933612439395,36.20335816074756
224,elasticnet,0.2267899368115167,0.001,844,441,2,1015,1108,9,4,9,0.08206703007227559,4.7196462697156445
345,none,0.7663064356635404,0.01,442,649,1,480,816,5,4,9,0.019681677951982515,18.46323088708859
328,none,0.7904174928373668,0.001,140,307,4,898,113,3,2,5,0.010081868954371298,81.53665616766695
393,elasticnet,0.26694297273478695,0.01,419,589,1,689,669,3,3,7,0.007094611940394523,50.4043990057601
39,none,0.6716039424758871,0.001,123,525,2,267,509,7,5,9,0.09063417498141624,78.06038636853859
178,elasticnet,0.7683199314506907,0.0001,715,91,1,1107,757,8,2,10,0.07566912215851762,40.09827203374915
367,l2,0.6405070768051574,0.0001,612,713,-1,330,284,9,2,9,0.07505295572735246,62.631816450858345
155,none,0.6022795080343182,0.0001,476,641,-1,1311,1123,6,5,9,0.0994676307871796,19.856259798982858
357,elasticnet,0.8018037627986389,0.001,222,531,1,808,1309,4,5,10,0.09046913777976867,27.310299649660735
107,none,0.26593031257580857,0.0001,254,798,-1,641,952,6,4,11,0.008695687813015463,28.601442570854637
71,l2,0.5733142239953207,0.01,274,744,2,733,262,4,3,8,0.09645148455233274,61.88778305300314
234,l2,0.2418537874912549,0.001,156,580,8,100,1260,9,2,8,0.08913541076492594,54.42871798234497
18,elasticnet,0.4315585875325579,0.001,265,895,4,646,1001,3,5,7,0.025358379135817774,53.09529102472871
318,none,0.12337379438792055,0.0001,240,861,-1,805,778,4,3,8,0.08969990688958482,26.436082049124387
206,l2,0.3348326267263804,0.0001,301,970,8,984,1299,6,4,8,0.03460422461749979,62.076830915760546
349,l1,0.4569653260632393,0.0001,156,992,-1,650,1026,7,4,8,0.004895977998115597,60.801582802574245
373,elasticnet,0.4211241404004118,0.0001,165,860,4,1249,1147,9,5,10,0.09402867194385356,88.51921067297424
266,l1,0.59797887154521,0.01,686,405,-1,186,1237,5,3,7,0.09354973305716424,11.531236845661313
249,l1,0.479688217914091,0.01,402,769,1,227,1065,5,5,8,0.060991270733550436,36.148826116087925
307,l2,0.8770809306518798,0.0001,641,668,4,974,383,6,3,10,0.042383715188311626,29.164315268820015
33,l1,0.3257694510905947,0.001,420,390,4,1058,607,8,3,7,0.0965846535528614,32.414644129917825
158,none,0.2869404213989,0.001,778,282,4,553,1333,7,5,8,0.0345590492677882,61.61805388104495
15,none,0.19389172529918391,0.0001,103,288,2,111,573,3,3,8,0.005868679446968262,23.33802954308096
395,none,0.14792518946251898,0.0001,268,751,4,1122,1300,5,5,8,0.050965231642782965,70.96673913650108
343,none,0.12173827726784472,0.0001,149,137,2,852,172,4,4,9,0.0053173841569576046,59.70862688131741
164,none,0.6997546821124712,0.01,943,838,2,343,1195,8,3,9,0.018574091108678126,16.388827821612228
13,l2,0.4984612123067702,0.01,668,503,8,500,1370,9,4,8,0.08575708243973679,47.61937705868872
129,l1,0.6968173363303647,0.0001,719,538,4,444,838,10,2,9,0.019043847532037552,68.37654533713794
241,elasticnet,0.3057990668918823,0.0001,916,338,2,925,387,9,2,10,0.09620469598108712,46.75981574840607
279,none,0.5428354044271027,0.001,857,400,2,720,877,8,2,7,0.09447414192556217,92.59623776033074
314,none,0.1347345194223551,0.001,672,484,1,406,257,5,3,10,0.026960179548669274,74.95448318299984
32,l2,0.6542838550567868,0.0001,944,678,4,151,835,3,4,9,0.021448468438189663,56.52769059834353
17,elasticnet,0.6317504304161463,0.01,719,259,2,103,209,9,3,9,0.05438506551653896,76.88807496251782
297,l1,0.3359697728195465,0.0001,757,197,-1,1372,796,2,3,7,0.07157965539802404,89.39485357447364
250,elasticnet,0.35371964181701265,0.001,285,606,2,954,1054,7,4,10,0.09507271734912803,66.06619207751461
329,l2,0.27819967629118186,0.0001,531,153,2,1061,155,2,3,6,0.002331292242645277,18.10173502154842
244,elasticnet,0.2329565615030797,0.01,524,638,4,477,959,5,2,8,0.06684093753401638,59.405296051115926
227,none,0.5596441292585953,0.0001,753,803,1,309,1192,4,4,8,0.09065256463588917,8.831795683319829
251,none,0.3742752540726191,0.01,221,52,-1,917,1086,9,3,9,0.07455569603939477,53.02091555703301
348,l1,0.4380232355116844,0.001,919,779,2,191,225,3,2,8,0.016894434260313253,86.81045795225937
211,none,0.12638957622863148,0.001,454,0,8,435,1088,6,4,10,0.08176526588622468,30.959532967566037
146,none,0.3105053708396982,0.0001,761,671,1,1021,1362,9,5,11,0.09794672020043126,98.85266974467682
335,l1,0.7625241301717095,0.0001,751,984,2,397,936,3,5,8,0.014940994224050897,46.1361364439929
283,none,0.27385693604656497,0.001,309,834,2,908,922,5,4,9,0.01899685117534857,21.89716204508395
324,l1,0.228755026428098,0.0001,260,438,4,472,1179,2,3,7,0.05377571862272284,43.34923581203867
361,l1,0.3956866619569565,0.01,296,23,4,1161,1328,3,2,9,0.058619144101503325,42.77164873727346
153,l2,0.4149371603625141,0.0001,953,74,2,385,545,8,2,10,0.06786767159664116,75.92954737719279
262,none,0.5669115291181288,0.0001,868,106,4,633,216,3,3,7,0.09734830952282954,9.387286330179318
191,none,0.10035576805598936,0.01,374,640,2,750,504,7,4,10,0.07847938720487135,14.619177372464366
356,elasticnet,0.32043419303893944,0.001,354,736,4,862,814,9,4,12,0.036173760448469434,20.185118886601032
112,none,0.6934076923540307,0.0001,316,728,4,707,300,2,4,8,0.009515852078830857,31.19279889348143
25,none,0.6276622009258644,0.001,871,499,1,173,468,6,3,9,0.047897247997282996,52.697092121432846
217,elasticnet,0.6822979320351329,0.001,907,766,8,964,385,10,3,11,0.010855684028833412,45.59549282968688
163,none,0.4380623732022222,0.01,204,98,-1,166,803,6,4,7,0.005976656557488136,93.99294883827575
183,l1,0.8384629900607877,0.001,998,418,-1,831,193,10,5,8,0.05086389582933165,50.84866376198778
10,none,0.8680995692048329,0.0001,479,535,8,1178,1047,7,4,8,0.017704942428251415,73.6588161823334
248,l1,0.10125369711569726,0.01,269,491,2,225,1031,10,2,7,0.03212877653580224,42.167079441234115
165,l1,0.1996834274147611,0.0001,880,789,8,639,1191,9,3,11,0.09240495578715298,1.9123897101666616
156,l1,0.29807791606074985,0.001,952,819,1,717,814,6,3,8,0.0835157090821635,15.582684248912413
208,l2,0.4443395482743877,0.0001,436,901,8,1253,899,5,5,11,0.043947201381904936,38.52550212059509
58,none,0.13628286851694354,0.0001,727,543,4,1290,1048,7,3,7,0.0140836483861294,17.720839831322664
296,none,0.294462618487081,0.0001,341,716,-1,1078,347,3,4,6,0.01921953972273034,91.86220088193798
55,l1,0.1663316073858921,0.0001,735,216,1,1313,686,3,4,9,0.0033718580514147225,95.43242065712194
11,l2,0.5742061293137437,0.0001,259,960,2,860,639,10,2,11,0.03616481495832862,82.90484142005123
57,l2,0.5783712904045345,0.001,526,675,-1,476,481,8,4,12,0.09317310722412207,90.58993805310214
390,l2,0.33192476026556283,0.0001,441,206,4,136,761,8,2,8,0.07264435316324001,19.898520847654826
35,elasticnet,0.4155595708945797,0.001,639,205,2,418,768,4,4,8,0.028196963142578624,8.132057461027111
27,l2,0.8561946304196905,0.0001,763,834,4,584,130,6,4,11,0.08896351678170923,39.54142929964096
88,elasticnet,0.34774724227155823,0.01,749,842,4,1336,696,2,2,7,0.06903141453053023,31.870340200681664
69,l2,0.7813580651461537,0.001,373,763,4,1273,339,2,5,8,0.0314742879338604,28.3645483703446
125,elasticnet,0.40518889335274605,0.0001,442,119,-1,578,1035,7,4,9,0.056843922268832676,35.766198022208904
218,none,0.2887290985025336,0.01,131,75,-1,546,909,9,2,8,0.057686574836750125,51.27452176520402
92,l1,0.5213275563571693,0.01,453,553,4,599,732,4,3,9,0.0608350860889583,21.20743820313216
313,l2,0.6524324083374989,0.001,551,526,2,388,583,2,2,7,4.664195609896949e-05,13.133173758675024
204,l1,0.8591389931905178,0.0001,728,309,8,384,715,4,4,10,0.029505997525248674,61.25147046874223
137,elasticnet,0.4912862587129026,0.01,707,127,8,1074,508,8,3,7,0.07910161127240986,20.879586300402305
187,elasticnet,0.326674993757026,0.01,427,128,4,913,572,6,3,10,0.03867852944414396,93.03721661076206
304,l2,0.13428257737603574,0.001,750,813,1,754,1175,2,3,5,0.029415200936797805,69.41289653140372
231,elasticnet,0.7620186054268553,0.001,634,192,1,594,383,10,4,8,0.06459006549732603,97.26690405846551
3,none,0.4746050815435608,0.001,829,103,4,877,313,6,5,7,0.05726111196739875,82.25722236611179
311,none,0.2471423216513241,0.001,359,77,-1,704,984,6,5,8,0.0015577117304048872,96.63148770815769
81,elasticnet,0.6815313500801998,0.0001,803,484,4,727,695,9,3,10,0.027913600393896912,3.809690197807394
280,elasticnet,0.370064290300904,0.0001,502,444,4,642,536,7,5,11,0.003050410683056471,60.80768805277692
87,none,0.6602900766328983,0.0001,443,747,-1,366,1020,3,3,7,0.0168378620899626,77.61048893563425
376,l1,0.5606009648900027,0.01,490,95,1,1226,1061,5,2,8,0.08322597552573444,92.5763053441922
192,elasticnet,0.6235250136912234,0.0001,692,120,4,144,1206,5,3,8,0.09437394007287188,16.655688374471126
201,none,0.38181673953432094,0.01,300,245,8,206,1341,7,2,8,0.032642282359376336,97.37769512803648
268,l2,0.4026483851303678,0.01,980,872,2,1050,421,2,3,7,0.009523007059851851,37.65400877755351
341,elasticnet,0.6319839012350307,0.0001,249,733,-1,549,1297,7,4,8,0.06320250629060258,11.995859571817928
340,elasticnet,0.2906116517580702,0.0001,384,691,1,770,650,6,5,7,0.09586295258861327,43.6384904973956
170,elasticnet,0.5332208011519418,0.001,878,447,1,160,227,10,2,9,0.02178879091357925,3.4862425764836305
104,l2,0.8359062968296559,0.01,982,214,4,581,605,6,5,10,0.031223133677859293,15.351909428968213
299,none,0.3766170269134569,0.0001,217,6,-1,641,1030,4,5,7,0.08338068697092665,89.08955509171953
230,l1,0.791422268135568,0.0001,554,985,-1,187,440,6,4,7,0.004922048076479069,6.799206696864838
323,l2,0.6229483573021246,0.001,920,580,8,430,474,5,2,6,0.037872669023788615,51.56433159269081
7,l1,0.2828406107054889,0.0001,422,143,8,677,737,9,5,8,0.04046325489481176,54.62820555371398
368,none,0.2340041786761297,0.0001,729,491,2,937,152,3,3,10,0.08440456320806049,84.53298470068692
70,none,0.7221919404479871,0.001,764,493,8,664,1073,3,2,6,0.0699202045342529,68.18126302798855
336,l1,0.2553200077692831,0.01,942,676,2,1325,1302,8,3,11,0.07236516193723701,59.063374069992896
14,l2,0.6587242099913071,0.0001,386,66,2,907,1090,5,3,9,0.0876985114764327,43.704769878186035
74,l2,0.8160960502041162,0.001,251,194,8,555,1121,4,4,7,0.02335571417277973,91.55558503433512
64,none,0.8476485957129611,0.01,560,206,1,1351,162,9,5,11,0.004227882502138425,64.22695031151193
203,elasticnet,0.7506880152633376,0.001,489,22,8,1026,252,3,4,8,0.07544834849183918,32.12973631380475
222,l2,0.5067299102164502,0.01,929,902,1,1377,758,8,2,9,0.00625572075128349,33.014523300944475
49,none,0.4496557843334914,0.0001,513,658,-1,107,154,10,2,7,0.08139442325341502,6.651352635978865
245,elasticnet,0.491496469397505,0.01,177,283,2,325,1076,6,3,7,0.06326520936197075,47.4022990512025
309,elasticnet,0.23906306414749426,0.001,842,277,8,1282,1168,4,5,9,0.04089889326004847,16.47897144925207
60,none,0.533076731795474,0.001,758,454,8,1234,1252,4,3,10,0.01930982997985945,32.552637583657415
360,l2,0.8706856984160009,0.001,689,9,1,1178,345,2,5,7,0.06315376876645122,31.181437930276104
185,elasticnet,0.5634396550613812,0.01,875,177,-1,802,676,8,5,10,0.09958620792583006,45.84785364946817
273,elasticnet,0.6070929300631476,0.001,456,205,-1,792,1252,7,3,10,0.01940629989563973,80.11558916130377
139,l2,0.6120403869468257,0.01,552,180,-1,1172,756,2,3,8,0.04739655021636592,61.33570818537361
131,l1,0.12837049469273165,0.01,452,55,4,256,1095,6,3,7,0.042865430980721625,66.76752624501208
76,elasticnet,0.16812692312121974,0.01,737,958,2,1050,809,8,4,10,0.0833761679380885,97.33345437445593
342,l2,0.8224979492285563,0.0001,115,269,1,568,808,6,4,8,0.013674741713633276,79.28700157086736
124,elasticnet,0.7352769394323213,0.001,510,999,-1,281,343,4,2,8,0.05931024311528885,44.58926384769729
93,l2,0.10783522353600372,0.0001,277,622,8,1118,478,5,5,9,0.0056980994081237924,62.737518814793155
236,l2,0.7556315433172911,0.01,639,295,8,335,621,3,2,5,0.09986641339051534,99.0126438592366
207,none,0.16587356671576725,0.0001,536,966,4,1077,714,7,3,10,0.07479540450556216,65.29182937455289
65,l1,0.7644241872872437,0.001,275,78,8,592,316,5,3,9,0.008014936131210394,95.612174651645
302,l2,0.491635802093415,0.001,440,458,2,567,1110,7,3,8,0.08183916519763255,33.32559245801649
197,none,0.17815513409420947,0.001,670,939,1,559,178,7,5,8,0.07360812446344987,25.235183139932012
171,none,0.7848266080977478,0.01,726,559,1,1048,357,10,3,8,0.07611581092819772,14.776065066665547
209,none,0.21420062856665426,0.01,836,843,-1,124,1364,2,5,7,0.024646386475930628,53.345859862140934
320,l1,0.5404236095515215,0.0001,815,456,1,720,1296,7,4,7,0.020566393554355668,5.291228077323763
149,none,0.12416729864913377,0.0001,434,745,-1,1351,1020,3,3,9,0.011966248770899204,7.163308468360434
30,l2,0.8510890738621999,0.001,362,610,-1,1052,973,9,2,10,0.028050896483092225,84.7829812516147
105,l2,0.3714467447012176,0.001,875,752,8,784,650,5,3,9,0.03379542191710742,83.25792976800689
281,l2,0.7932457483607256,0.01,161,165,1,724,1252,6,5,10,0.048997136881417526,42.15536733512595
247,none,0.5967724933250568,0.01,826,12,4,170,989,5,3,7,0.025267532813844654,59.61411797915445
1,l1,0.7277441802627995,0.001,578,569,1,790,373,4,5,7,0.07778086970406907,54.626301950189344
97,elasticnet,0.2507379302379513,0.01,674,1000,8,1220,729,6,2,6,0.003299097286597608,85.98874629444364
315,l2,0.346099398002955,0.0001,160,662,4,408,1124,7,3,8,0.001384157303750222,52.33695152850643
193,l1,0.1225180417342184,0.0001,228,140,4,395,931,5,5,7,0.04606709140610225,48.40266842408117
48,elasticnet,0.5414965905671205,0.001,757,717,1,910,1059,5,2,10,0.02857463362766237,99.66447324821286
44,l2,0.8952199191980772,0.01,255,264,4,1064,627,7,4,8,0.0425560249806034,2.710736649877209
363,none,0.8407893306741874,0.001,296,751,1,1063,1129,8,5,11,0.050294719947183576,79.33734140458408
114,elasticnet,0.6095512025522825,0.001,493,629,4,1105,637,2,3,6,0.015737663174637963,4.748500638214388
160,none,0.4686887744820768,0.01,958,646,1,194,181,3,2,7,0.07428620605724594,60.807984745987504
219,elasticnet,0.8270556592617604,0.001,269,549,2,1172,505,2,2,9,0.0017068346111223653,19.63121977742078
36,none,0.7404370989013533,0.01,735,524,2,1071,889,9,4,10,0.007839659801525468,38.66135658889757
255,elasticnet,0.2264558801038973,0.01,790,10,-1,650,1002,5,2,7,0.021207102667675597,68.65966491106104
366,l1,0.8680185642406403,0.001,696,319,1,255,411,4,4,10,0.025839971254467662,99.74843744892587
212,none,0.8188461465074759,0.001,580,440,-1,1123,1304,5,4,9,0.09853672927430478,29.28440948403715
223,l2,0.2789377639520625,0.0001,960,413,8,1192,878,8,2,7,0.014781465982586154,69.84434925256059
31,l2,0.8216642094476111,0.001,161,978,2,621,1037,6,5,7,0.09814697547263093,67.65263264625281
189,l1,0.695892457449826,0.001,105,374,2,1058,549,7,3,7,0.008472213627560099,74.75214642115628
136,elasticnet,0.8311281496850275,0.001,592,769,1,191,805,8,3,7,0.029973245971532364,18.286377980854155
115,elasticnet,0.3353486904214548,0.001,895,157,8,752,1080,4,3,10,0.047941673604843714,84.18964004672155
100,l1,0.7121113422597233,0.01,483,211,-1,1299,130,6,3,9,0.015476461706330569,94.52401720615588
157,l2,0.27532609611273096,0.01,454,778,2,999,458,7,3,10,0.08219949361089096,48.54848960561864
331,none,0.16094629337374436,0.001,446,208,2,271,1022,3,3,8,0.07027934587449979,23.64263127020225
130,l2,0.2588080678407145,0.01,522,539,2,1275,883,4,2,7,0.011512891228157985,50.237963589236564
29,none,0.634387545939685,0.01,846,531,2,409,1243,9,5,11,0.028190907986109383,56.159862698516385
240,none,0.4378668081553493,0.0001,997,345,4,1124,629,7,2,8,0.012504928632228485,26.834542444984784
34,none,0.7971493593977803,0.001,794,684,2,826,327,3,5,10,0.0645607231819216,71.06891425356852
252,elasticnet,0.4635485868983472,0.01,797,247,1,1150,1118,2,5,10,0.09493341260986754,56.570380994625474
243,l2,0.5563951116641057,0.0001,672,910,4,584,1269,9,5,9,0.08666837789869472,74.61463169241405
271,l2,0.28976935303122964,0.001,642,103,1,132,1095,2,3,7,0.03414096080670452,69.56097557359594
16,none,0.7960227679052791,0.01,691,947,1,484,1276,3,5,7,0.08791140299792735,86.08049311747857
321,l2,0.6978774744188101,0.001,976,651,-1,426,612,9,3,7,0.062130149033200764,72.5909162515417
396,l1,0.2451836493927256,0.0001,362,53,2,1096,1126,3,2,8,0.08538191975863597,89.54254139571573
284,elasticnet,0.8937690151479828,0.0001,995,351,8,1081,203,10,5,12,0.07519728054515805,78.88620431361582
